periodo;CCAA;obesidad;indice_alimentacion;porcentaje_empresas;indice_bienestar;ranking_bienestar;nombre_cluster
2010;Navarra, Comunidad Foral de;11,2;73,07;1,25;55,66;1;Perfil saludable alto
2010;Castilla y León;13,25;75,48;5,17;55,28;2;Perfil saludable alto
2010;Cantabria;11,65;64,71;1,13;49,73;3;Perfil saludable alto
2010;Cataluña;14,2;55,93;17,86;49,17;4;Perfil intermedio
2010;País Vasco;14,7;63,09;5,01;44,96;5;Perfil saludable alto
2010;Balears, Illes;14,7;54,78;4,17;39,54;6;Perfil intermedio
2010;Comunitat Valenciana;16,4;50,01;9,91;36,66;7;Perfil intermedio
2010;Rioja, La;14,8;53,54;0,66;36,56;8;Perfil saludable alto
2010;Aragón;15,7;54,32;2,27;36,17;9;Perfil saludable alto
2010;Madrid, Comunidad de;13,9;32,54;15;34,23;10;Perfil intermedio
2010;Galicia;18,05;51,43;6,19;32,06;11;Perfil de riesgo
2010;Asturias, Principado de;20,2;61,02;2,31;31,21;12;Perfil de riesgo
2010;Canarias;16,7;39,62;5,48;27,33;13;Perfil de riesgo
2010;Extremadura;21,55;51,5;1,95;22,67;14;Perfil de riesgo
2010;Castilla La Mancha;19,5;35,99;3,17;18,26;15;Perfil de riesgo
2010;Andalucía;20,4;25,02;15,44;17,09;16;Perfil de riesgo
2010;Murcia, Región de;21,25;36,28;2,69;14,67;17;Perfil de riesgo
2011;Navarra, Comunidad Foral de;11,2;88,56;1,23;64,83;1;Perfil saludable alto
2011;Castilla y León;13,8;88,72;5,3;62,12;2;Perfil saludable alto
2011;Cantabria;11,1;80,14;1,19;60,01;3;Perfil saludable alto
2011;Cataluña;14,3;66,29;17,76;55,06;4;Perfil intermedio
2011;Rioja, La;14,9;83,04;0,67;53,87;5;Perfil saludable alto
2011;País Vasco;15,3;79,83;4,77;53,55;6;Perfil saludable alto
2011;Aragón;15,7;67,69;2,32;44,13;7;Perfil saludable alto
2011;Comunitat Valenciana;17,3;65,32;9,88;43,94;8;Perfil intermedio
2011;Balears, Illes;15,1;60,34;4,1;42;9;Perfil intermedio
2011;Asturias, Principado de;18,7;73,46;2,34;41,6;10;Perfil de riesgo
2011;Madrid, Comunidad de;14,3;43,78;15,25;40,25;11;Perfil intermedio
2011;Galicia;19,2;61,46;6,26;35,76;12;Perfil de riesgo
2011;Canarias;18,2;45,62;5,39;27,85;13;Perfil de riesgo
2011;Castilla La Mancha;20,6;54,14;3,24;26,88;14;Perfil de riesgo
2011;Extremadura;21,6;56,15;1,91;25,31;15;Perfil de riesgo
2011;Murcia, Región de;20,3;49,65;2,73;24,51;16;Perfil de riesgo
2011;Andalucía;21,2;38,06;15,33;23,17;17;Perfil de riesgo
2012;Navarra, Comunidad Foral de;11,2;87,45;1,23;64,17;1;Perfil saludable alto
2012;Cantabria;11,1;83,39;1,19;61,94;2;Perfil saludable alto
2012;Castilla y León;13,8;85,55;5,45;60,33;3;Perfil saludable alto
2012;Cataluña;14,3;67,5;17,56;55,66;4;Perfil intermedio
2012;País Vasco;15,3;79,78;4,59;53,42;5;Perfil saludable alto
2012;Comunitat Valenciana;17,3;69,84;9,94;46,65;6;Perfil intermedio
2012;Aragón;15,7;67,16;2,35;43,83;7;Perfil saludable alto
2012;Balears, Illes;15,1;63,32;4,16;43,8;8;Perfil intermedio
2012;Madrid, Comunidad de;14,3;44,48;15,22;40,65;9;Perfil intermedio
2012;Rioja, La;14,9;55,77;0,69;37,7;10;Perfil saludable alto
2012;Asturias, Principado de;18,7;66,68;2,3;37,55;11;Perfil de riesgo
2012;Galicia;19,2;63,87;6,44;37,3;12;Perfil de riesgo
2012;Canarias;18,2;45,19;5,42;27,61;13;Perfil de riesgo
2012;Castilla La Mancha;20,6;54,13;3,28;26,89;14;Perfil de riesgo
2012;Extremadura;21,6;54,9;1,92;24,57;15;Perfil de riesgo
2012;Andalucía;21,2;39,89;15,24;24,21;16;Perfil de riesgo
2012;Murcia, Región de;20,3;48,16;2,71;23,62;17;Perfil de riesgo
2013;Navarra, Comunidad Foral de;11,45;81,88;1,22;60,37;1;Perfil saludable alto
2013;Castilla y León;14,65;83,28;5,51;57,32;2;Perfil saludable alto
2013;Cantabria;13,1;77,25;1,25;54,35;3;Perfil saludable alto
2013;País Vasco;14,15;75,45;4,29;52,96;4;Perfil saludable alto
2013;Cataluña;14,65;63,34;17,55;52,49;5;Perfil intermedio
2013;Balears, Illes;14,15;58,95;4,13;43,08;6;Perfil intermedio
2013;Aragón;16,15;67,2;2,38;42,98;7;Perfil saludable alto
